,Region,Year,RDT_positive,RDT_suspect,suspected
116,Western Pacific,2006,,400956.0,12519176.0
117,Western Pacific,2007,,274383.0,13095812.0
118,Western Pacific,2008,,307445.0,11014575.0
119,Western Pacific,2009,,440885.0,12034479.0
120,Western Pacific,2010,127095.0,436617.0,14453137.0
121,Western Pacific,2011,125467.0,904555.0,16606129.0
122,Western Pacific,2012,182598.0,1165641.0,14321524.0
123,Western Pacific,2013,321119.0,1294240.0,12965163.0
124,Western Pacific,2014,357985.0,1522570.0,10932682.0
125,Western Pacific,2015,388255.0,1644810.0,9929480.0
126,Western Pacific,2016,541767.0,1816475.0,9252052.0
127,Western Pacific,2017,541777.0,2334372.0,8787095.0
128,Western Pacific,2018,567112.0,2382076.0,7449625.0
129,Western Pacific,2019,705143.0,3070081.0,7805223.0
130,Western Pacific,2020,806272.0,3465068.0,7691773.0
131,Western Pacific,2021,,3179080.0,6023517.0
