loc_rowid,pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_masse,sy_dist
1,11 Com b,2,1,Radial Velocity,2007,Xinglong Station,,93.1846000
2,11 Com b,2,1,Radial Velocity,2007,Xinglong Station,,93.1846000
3,11 UMi b,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,,125.3210000
4,11 UMi b,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,,125.3210000
5,11 UMi b,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,,125.3210000
6,14 And b,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,,75.4392000
7,14 And b,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,,75.4392000
8,14 Her b,1,1,Radial Velocity,2002,W. M. Keck Observatory,,17.9323000
9,14 Her b,1,1,Radial Velocity,2002,W. M. Keck Observatory,,17.9323000
10,14 Her b,1,1,Radial Velocity,2002,W. M. Keck Observatory,,17.9323000
11,14 Her b,1,1,Radial Velocity,2002,W. M. Keck Observatory,,17.9323000
12,14 Her b,1,1,Radial Velocity,2002,W. M. Keck Observatory,,17.9323000
13,14 Her b,1,1,Radial Velocity,2002,W. M. Keck Observatory,,17.9323000
14,16 Cyg B b,3,1,Radial Velocity,1996,Multiple Observatories,,21.1397000
15,16 Cyg B b,3,1,Radial Velocity,1996,Multiple Observatories,,21.1397000
16,16 Cyg B b,3,1,Radial Velocity,1996,Multiple Observatories,,21.1397000
17,16 Cyg B b,3,1,Radial Velocity,1996,Multiple Observatories,,21.1397000
18,16 Cyg B b,3,1,Radial Velocity,1996,Multiple Observatories,,21.1397000
19,18 Del b,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,,76.2220000
20,18 Del b,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,,76.2220000
21,1RXS J160929.1-210524 b,1,1,Imaging,2008,Gemini Observatory,3000.00000,139.1350000
22,1RXS J160929.1-210524 b,1,1,Imaging,2008,Gemini Observatory,4000.00000,139.1350000
23,1RXS J160929.1-210524 b,1,1,Imaging,2008,Gemini Observatory,3000.00000,139.1350000
24,1RXS J160929.1-210524 b,1,1,Imaging,2008,Gemini Observatory,2543.00000,139.1350000
25,24 Boo b,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,,95.9863000
26,24 Sex b,1,2,Radial Velocity,2010,Lick Observatory,,72.0691000
27,24 Sex c,1,2,Radial Velocity,2010,Lick Observatory,,72.0691000
28,2MASS J01033563-5515561 AB b,2,1,Imaging,2013,Paranal Observatory,4131.79000,
29,2MASS J01225093-2439505 b,1,1,Imaging,2013,W. M. Keck Observatory,7786.50000,33.8281000
30,2MASS J01225093-2439505 b,1,1,Imaging,2013,W. M. Keck Observatory,,33.8281000
31,2MASS J02192210-3925225 b,1,1,Imaging,2015,Cerro Tololo Inter-American Observatory,4417.83700,
32,2MASS J04414489+2301513 b,1,1,Imaging,2010,Hubble Space Telescope,2383.60000,
33,2MASS J12073346-3932539 b,1,1,Imaging,2004,Paranal Observatory,1589.15000,64.3080000
34,2MASS J12073346-3932539 b,1,1,Imaging,2004,Paranal Observatory,1271.00000,64.3080000
35,2MASS J19383260+4603591 b,2,1,Eclipse Timing Variations,2015,Kepler,603.87700,396.3320000
36,2MASS J21402931+1625183 A b,1,1,Imaging,2009,W. M. Keck Observatory,6657.48000,
37,2MASS J22362452+4751425 b,1,1,Imaging,2016,W. M. Keck Observatory,3972.87500,69.5737000
38,30 Ari B b,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,,44.6570000
39,30 Ari B b,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,,44.6570000
40,30 Ari B b,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,,44.6570000
41,4 UMa b,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,,73.4603000
42,42 Dra b,2,1,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,,90.6545000
43,47 UMa b,1,3,Radial Velocity,1996,Lick Observatory,,13.7967000
44,47 UMa b,1,3,Radial Velocity,1996,Lick Observatory,,13.7967000
45,47 UMa b,1,3,Radial Velocity,1996,Lick Observatory,,13.7967000
46,47 UMa b,1,3,Radial Velocity,1996,Lick Observatory,,13.7967000
47,47 UMa c,1,3,Radial Velocity,2001,Lick Observatory,,13.7967000
48,47 UMa c,1,3,Radial Velocity,2001,Lick Observatory,,13.7967000
49,47 UMa d,1,3,Radial Velocity,2009,Lick Observatory,,13.7967000
50,51 Eri b,3,1,Imaging,2015,Gemini Observatory,,29.7575000
51,51 Eri b,3,1,Imaging,2015,Gemini Observatory,,29.7575000
52,51 Eri b,3,1,Imaging,2015,Gemini Observatory,635.66000,29.7575000
53,51 Peg b,1,1,Radial Velocity,1995,Haute-Provence Observatory,,15.4614000
54,51 Peg b,1,1,Radial Velocity,1995,Haute-Provence Observatory,146.20180,15.4614000
55,51 Peg b,1,1,Radial Velocity,1995,Haute-Provence Observatory,,15.4614000
56,51 Peg b,1,1,Radial Velocity,1995,Haute-Provence Observatory,,15.4614000
57,55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,,12.5855000
58,55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,,12.5855000
59,55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,,12.5855000
60,55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,263.97850,12.5855000
61,55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,254.25000,12.5855000
62,55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,,12.5855000
63,55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,,12.5855000
64,55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,,12.5855000
65,55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,,12.5855000
66,55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,,12.5855000
67,55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,266.96600,12.5855000
68,55 Cnc c,2,5,Radial Velocity,2004,McDonald Observatory,,12.5855000
69,55 Cnc c,2,5,Radial Velocity,2004,McDonald Observatory,56.69850,12.5855000
70,55 Cnc c,2,5,Radial Velocity,2004,McDonald Observatory,,12.5855000
71,55 Cnc c,2,5,Radial Velocity,2004,McDonald Observatory,,12.5855000
72,55 Cnc c,2,5,Radial Velocity,2004,McDonald Observatory,54.47380,12.5855000
73,55 Cnc c,2,5,Radial Velocity,2004,McDonald Observatory,,12.5855000
74,55 Cnc c,2,5,Radial Velocity,2004,McDonald Observatory,,12.5855000
75,55 Cnc d,2,5,Radial Velocity,2002,Lick Observatory,1232.49300,12.5855000
76,55 Cnc d,2,5,Radial Velocity,2002,Lick Observatory,,12.5855000
77,55 Cnc d,2,5,Radial Velocity,2002,Lick Observatory,1226.77000,12.5855000
78,55 Cnc d,2,5,Radial Velocity,2002,Lick Observatory,,12.5855000
79,55 Cnc d,2,5,Radial Velocity,2002,Lick Observatory,,12.5855000
80,55 Cnc d,2,5,Radial Velocity,2002,Lick Observatory,,12.5855000
81,55 Cnc d,2,5,Radial Velocity,2002,Lick Observatory,,12.5855000
82,55 Cnc d,2,5,Radial Velocity,2002,Lick Observatory,,12.5855000
83,55 Cnc d,2,5,Radial Velocity,2002,Lick Observatory,,12.5855000
84,55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,,12.5855000
85,55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,7.81000,12.5855000
86,55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,8.08000,12.5855000
87,55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,8.09479,12.5855000
88,55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,8.37000,12.5855000
89,55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,7.74000,12.5855000
90,55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,8.13928,12.5855000
91,55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,,12.5855000
92,55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,8.63000,12.5855000
93,55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,8.08000,12.5855000
94,55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,7.99000,12.5855000
95,55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,,12.5855000
96,55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,,12.5855000
97,55 Cnc f,2,5,Radial Velocity,2007,Multiple Observatories,,12.5855000
98,55 Cnc f,2,5,Radial Velocity,2007,Multiple Observatories,,12.5855000
99,55 Cnc f,2,5,Radial Velocity,2007,Multiple Observatories,,12.5855000
100,55 Cnc f,2,5,Radial Velocity,2007,Multiple Observatories,44.81200,12.5855000
101,55 Cnc f,2,5,Radial Velocity,2007,Multiple Observatories,47.00510,12.5855000
102,55 Cnc f,2,5,Radial Velocity,2007,Multiple Observatories,,12.5855000
103,6 Lyn b,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,,54.6599000
104,6 Lyn b,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,,54.6599000
105,6 Lyn b,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,,54.6599000
106,61 Vir b,1,3,Radial Velocity,2009,Multiple Observatories,,8.5033200
107,61 Vir c,1,3,Radial Velocity,2009,Multiple Observatories,,8.5033200
108,61 Vir d,1,3,Radial Velocity,2009,Multiple Observatories,,8.5033200
109,7 CMa b,1,2,Radial Velocity,2011,Anglo-Australian Telescope,,19.8101000
110,7 CMa b,1,2,Radial Velocity,2011,Anglo-Australian Telescope,,19.8101000
111,7 CMa b,1,2,Radial Velocity,2011,Anglo-Australian Telescope,,19.8101000
112,7 CMa c,1,2,Radial Velocity,2019,Multiple Observatories,,19.8101000
113,70 Vir b,1,1,Radial Velocity,1996,Lick Observatory,,17.9011000
114,70 Vir b,1,1,Radial Velocity,1996,Lick Observatory,,17.9011000
115,70 Vir b,1,1,Radial Velocity,1996,Lick Observatory,,17.9011000
116,70 Vir b,1,1,Radial Velocity,1996,Lick Observatory,,17.9011000
117,70 Vir b,1,1,Radial Velocity,1996,Lick Observatory,2380.45000,17.9011000
118,75 Cet b,2,1,Radial Velocity,2012,Okayama Astrophysical Observatory,,82.9613000
119,8 UMi b,1,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,,162.5520000
120,8 UMi b,1,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,,162.5520000
121,81 Cet b,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,,101.2600000
122,81 Cet b,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,,101.2600000
123,91 Aqr b,3,1,Radial Velocity,2013,Lick Observatory,,44.0304000
124,AB Pic b,1,1,Imaging,2005,Paranal Observatory,4290.50000,50.0475000
125,AU Mic b,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),,9.7221000
126,BD+03 2562 b,1,1,Radial Velocity,2017,Multiple Observatories,,1070.6300000
127,BD+14 4559 b,1,1,Radial Velocity,2009,McDonald Observatory,,49.3520000
128,BD+14 4559 b,1,1,Radial Velocity,2009,McDonald Observatory,,49.3520000
129,BD+15 2375 b,1,1,Radial Velocity,2016,Roque de los Muchachos Observatory,,768.0450000
130,BD+15 2940 b,1,1,Radial Velocity,2013,McDonald Observatory,,426.4200000
131,BD+20 2457 b,1,2,Radial Velocity,2009,McDonald Observatory,,1539.7100000
132,BD+20 2457 b,1,2,Radial Velocity,2009,McDonald Observatory,,1539.7100000
133,BD+20 2457 c,1,2,Radial Velocity,2009,McDonald Observatory,,1539.7100000
134,BD+20 274 b,1,1,Radial Velocity,2012,McDonald Observatory,,1322.5100000
135,BD+20 594 b,1,1,Transit,2016,K2,16.30000,179.4610000
136,BD+20 594 b,1,1,Transit,2016,K2,,179.4610000
137,BD+20 594 b,1,1,Transit,2016,K2,,179.4610000
138,BD+20 594 b,1,1,Transit,2016,K2,22.24810,179.4610000
139,BD+45 564 b,1,1,Radial Velocity,2021,Haute-Provence Observatory,,53.6220000
140,BD+48 738 b,1,1,Radial Velocity,2011,McDonald Observatory,,871.4930000
141,BD+48 740 b,1,1,Radial Velocity,2018,Multiple Observatories,,666.5890000
142,BD+49 828 b,1,1,Radial Velocity,2015,McDonald Observatory,,442.0420000
143,BD+55 362 b,1,1,Radial Velocity,2021,Haute-Provence Observatory,,52.5697000
144,BD+63 1405 b,1,1,Radial Velocity,2021,Haute-Provence Observatory,,38.0473000
145,BD-00 4475 b,1,1,Radial Velocity,2021,Haute-Provence Observatory,,42.6402000
146,BD-06 1339 b,1,2,Radial Velocity,2013,La Silla Observatory,,20.2695000
147,BD-06 1339 c,1,2,Radial Velocity,2013,La Silla Observatory,,20.2695000
148,BD-08 2823 b,1,2,Radial Velocity,2009,La Silla Observatory,,41.3342000
149,BD-08 2823 b,1,2,Radial Velocity,2009,La Silla Observatory,,41.3342000
150,BD-08 2823 c,1,2,Radial Velocity,2009,La Silla Observatory,,41.3342000
151,BD-10 3166 b,1,1,Radial Velocity,2000,W. M. Keck Observatory,,84.4069000
152,BD-10 3166 b,1,1,Radial Velocity,2000,W. M. Keck Observatory,,84.4069000
153,BD-10 3166 b,1,1,Radial Velocity,2000,W. M. Keck Observatory,,84.4069000
154,BD-11 4672 b,1,2,Radial Velocity,2014,La Silla Observatory,,27.1665000
155,BD-11 4672 b,1,2,Radial Velocity,2014,La Silla Observatory,,27.1665000
156,BD-11 4672 c,1,2,Radial Velocity,2020,Roque de los Muchachos Observatory,,27.1665000
157,BD-13 2130 b,1,1,Radial Velocity,2007,La Silla Observatory,,925.2140000
158,BD-13 2130 b,1,1,Radial Velocity,2007,La Silla Observatory,,925.2140000
159,BD-17 63 b,1,1,Radial Velocity,2008,La Silla Observatory,,34.4603000
160,BD-17 63 b,1,1,Radial Velocity,2008,La Silla Observatory,,34.4603000
161,CFBDSIR J145829+101343 b,1,1,Imaging,2011,W. M. Keck Observatory,3337.10000,
162,CFHTWIR-Oph 98 b,1,1,Imaging,2021,Hubble Space Telescope,2479.06157,
163,CHXR 73 b,1,1,Imaging,2006,Hubble Space Telescope,3994.48600,190.3740000
164,CI Tau b,1,1,Radial Velocity,2019,Multiple Observatories,3686.82800,157.9980000
165,CT Cha b,1,1,Imaging,2007,Paranal Observatory,5403.00000,190.7200000
166,CoRoT-1 b,1,1,Transit,2008,CoRoT,327.36490,787.9090000
167,CoRoT-1 b,1,1,Transit,2008,CoRoT,340.07810,787.9090000
168,CoRoT-1 b,1,1,Transit,2008,CoRoT,390.93090,787.9090000
169,CoRoT-1 b,1,1,Transit,2008,CoRoT,359.14790,787.9090000
170,CoRoT-1 b,1,1,Transit,2008,CoRoT,327.35000,787.9090000
171,CoRoT-10 b,1,1,Transit,2010,CoRoT,883.56740,338.3860000
172,CoRoT-10 b,1,1,Transit,2010,CoRoT,867.67590,338.3860000
173,CoRoT-10 b,1,1,Transit,2010,CoRoT,874.00000,338.3860000
174,CoRoT-11 b,1,1,Transit,2010,CoRoT,791.39670,655.0370000
175,CoRoT-11 b,1,1,Transit,2010,CoRoT,832.71460,655.0370000
176,CoRoT-11 b,1,1,Transit,2010,CoRoT,,655.0370000
177,CoRoT-11 b,1,1,Transit,2010,CoRoT,740.51000,655.0370000
178,CoRoT-11 b,1,1,Transit,2010,CoRoT,743.72220,655.0370000
179,CoRoT-12 b,1,1,Transit,2010,CoRoT,290.81445,1126.3700000
180,CoRoT-12 b,1,1,Transit,2010,CoRoT,291.43800,1126.3700000
181,CoRoT-12 b,1,1,Transit,2010,CoRoT,277.46559,1126.3700000
182,CoRoT-12 b,1,1,Transit,2010,CoRoT,281.91521,1126.3700000
183,CoRoT-13 b,1,1,Transit,2010,CoRoT,416.99296,1148.9300000
184,CoRoT-13 b,1,1,Transit,2010,CoRoT,415.70400,1148.9300000
185,CoRoT-13 b,1,1,Transit,2010,CoRoT,423.03173,1148.9300000
186,CoRoT-14 b,1,1,Transit,2010,CoRoT,2415.40000,1744.6000000
187,CoRoT-14 b,1,1,Transit,2010,CoRoT,2358.29860,1744.6000000
188,CoRoT-14 b,1,1,Transit,2010,CoRoT,2437.75610,1744.6000000
189,CoRoT-16 b,1,1,Transit,2011,CoRoT,170.03200,732.4090000
190,CoRoT-16 b,1,1,Transit,2011,CoRoT,168.13207,732.4090000
191,CoRoT-17 b,1,1,Transit,2011,CoRoT,781.86180,1176.1200000
192,CoRoT-17 b,1,1,Transit,2011,CoRoT,765.97030,1176.1200000
193,CoRoT-17 b,1,1,Transit,2011,CoRoT,772.29000,1176.1200000
194,CoRoT-18 b,1,1,Transit,2011,CoRoT,1102.82000,764.8890000
195,CoRoT-18 b,1,1,Transit,2011,CoRoT,1048.83900,764.8890000
196,CoRoT-18 b,1,1,Transit,2011,CoRoT,1099.69180,764.8890000
197,CoRoT-18 b,1,1,Transit,2011,CoRoT,1039.30410,764.8890000
198,CoRoT-19 b,1,1,Transit,2011,CoRoT,352.78000,790.6630000
199,CoRoT-19 b,1,1,Transit,2011,CoRoT,346.43470,790.6630000
200,CoRoT-19 b,1,1,Transit,2011,CoRoT,367.09365,790.6630000
201,CoRoT-2 b,2,1,Transit,2008,CoRoT,1048.83900,213.2830000
202,CoRoT-2 b,2,1,Transit,2008,CoRoT,1052.01730,213.2830000
203,CoRoT-2 b,2,1,Transit,2008,CoRoT,1134.65310,213.2830000
204,CoRoT-2 b,2,1,Transit,2008,CoRoT,1150.54460,213.2830000
205,CoRoT-2 b,2,1,Transit,2008,CoRoT,,213.2830000
206,CoRoT-2 b,2,1,Transit,2008,CoRoT,,213.2830000
207,CoRoT-2 b,2,1,Transit,2008,CoRoT,1102.82000,213.2830000
208,CoRoT-2 b,2,1,Transit,2008,CoRoT,1051.97300,213.2830000
209,CoRoT-20 b,1,2,Transit,2011,CoRoT,1347.54000,844.0610000
210,CoRoT-20 b,1,2,Transit,2011,CoRoT,1366.66900,844.0610000
211,CoRoT-20 b,1,2,Transit,2011,CoRoT,1608.21980,844.0610000
212,CoRoT-20 b,1,2,Transit,2011,CoRoT,1315.81620,844.0610000
213,CoRoT-20 b,1,2,Transit,2011,CoRoT,1344.42090,844.0610000
214,CoRoT-20 c,1,2,Radial Velocity,2018,Multiple Observatories,,844.0610000
215,CoRoT-21 b,1,1,Transit,2012,CoRoT,705.58260,
216,CoRoT-21 b,1,1,Transit,2012,CoRoT,718.29580,
217,CoRoT-22 b,1,1,Transit,2014,CoRoT,12.20000,627.1580000
218,CoRoT-23 b,1,1,Transit,2011,CoRoT,972.55980,1060.9700000
219,CoRoT-23 b,1,1,Transit,2011,CoRoT,982.09470,1060.9700000
220,CoRoT-23 b,1,1,Transit,2011,CoRoT,889.90000,1060.9700000
221,CoRoT-24 b,1,2,Transit,2014,CoRoT,5.70000,591.5550000
222,CoRoT-24 c,1,2,Transit,2014,CoRoT,28.00000,591.5550000
223,CoRoT-25 b,1,1,Transit,2013,CoRoT,85.81000,1103.4800000
224,CoRoT-25 b,1,1,Transit,2013,CoRoT,93.12419,1103.4800000
225,CoRoT-26 b,1,1,Transit,2013,CoRoT,184.34140,1045.1800000
226,CoRoT-26 b,1,1,Transit,2013,CoRoT,165.26000,1045.1800000
227,CoRoT-27 b,1,1,Transit,2014,CoRoT,3273.64900,1010.2800000
228,CoRoT-27 b,1,1,Transit,2014,CoRoT,3302.11000,1010.2800000
229,CoRoT-28 b,1,1,Transit,2015,CoRoT,153.82972,766.1830000
230,CoRoT-28 b,1,1,Transit,2015,CoRoT,152.87623,766.1830000
231,CoRoT-29 b,1,1,Transit,2015,CoRoT,266.97720,806.5070000
232,CoRoT-29 b,1,1,Transit,2015,CoRoT,,806.5070000
233,CoRoT-29 b,1,1,Transit,2015,CoRoT,270.15550,806.5070000
234,CoRoT-3 b,1,1,Transit,2008,CoRoT,6814.27520,768.7710000
235,CoRoT-3 b,1,1,Transit,2008,CoRoT,,768.7710000
236,CoRoT-3 b,1,1,Transit,2008,CoRoT,6883.91000,768.7710000
237,CoRoT-3 b,1,1,Transit,2008,CoRoT,6747.53090,768.7710000
238,CoRoT-3 b,1,1,Transit,2008,CoRoT,6979.54680,768.7710000
239,CoRoT-30 b,1,1,Transit,2020,CoRoT,921.70700,1032.2300000
240,CoRoT-31 b,1,1,Transit,2020,CoRoT,266.97720,2005.7600000
241,CoRoT-4 b,1,1,Transit,2008,CoRoT,232.33373,726.4120000
242,CoRoT-4 b,1,1,Transit,2008,CoRoT,228.83000,726.4120000
243,CoRoT-4 b,1,1,Transit,2008,CoRoT,223.43449,726.4120000
244,CoRoT-5 b,1,1,Transit,2009,CoRoT,148.42000,882.4720000
245,CoRoT-5 b,1,1,Transit,2009,CoRoT,151.92274,882.4720000
246,CoRoT-5 b,1,1,Transit,2009,CoRoT,145.88397,882.4720000
247,CoRoT-5 b,1,1,Transit,2009,CoRoT,149.38010,882.4720000
248,CoRoT-6 b,1,1,Transit,2009,CoRoT,940.74000,645.2940000
249,CoRoT-6 b,1,1,Transit,2009,CoRoT,937.59850,645.2940000
250,CoRoT-6 b,1,1,Transit,2009,CoRoT,940.77680,645.2940000
251,CoRoT-7 b,1,2,Transit,2009,CoRoT,4.80000,159.9060000
252,CoRoT-7 b,1,2,Transit,2009,CoRoT,4.60000,159.9060000
253,CoRoT-7 b,1,2,Transit,2009,CoRoT,4.07661,159.9060000
254,CoRoT-7 b,1,2,Transit,2009,CoRoT,4.73000,159.9060000
255,CoRoT-7 b,1,2,Transit,2009,CoRoT,6.99226,159.9060000
256,CoRoT-7 b,1,2,Transit,2009,CoRoT,5.74000,159.9060000
257,CoRoT-7 b,1,2,Transit,2009,CoRoT,21.00000,159.9060000
258,CoRoT-7 c,1,2,Radial Velocity,2009,CoRoT,8.40000,159.9060000
259,CoRoT-7 c,1,2,Radial Velocity,2009,CoRoT,13.56000,159.9060000
260,CoRoT-8 b,1,1,Transit,2010,CoRoT,69.92000,322.0370000
261,CoRoT-8 b,1,1,Transit,2010,CoRoT,69.28694,322.0370000
262,CoRoT-8 b,1,1,Transit,2010,CoRoT,69.28694,322.0370000
263,CoRoT-8 b,1,1,Transit,2010,CoRoT,68.65128,322.0370000
264,CoRoT-9 b,2,1,Transit,2009,CoRoT,266.97000,412.9800000
265,CoRoT-9 b,2,1,Transit,2009,CoRoT,262.52758,412.9800000
266,CoRoT-9 b,2,1,Transit,2009,CoRoT,268.88418,412.9800000
267,CoRoT-9 b,2,1,Transit,2009,CoRoT,266.97720,412.9800000
268,CoRoTID 223977153 b,1,1,Transit,2017,CoRoT,47.67450,576.6830000
269,DE CVn b,2,1,Eclipse Timing Variations,2018,Multiple Facilities,,30.5225000
270,DENIS-P J082303.1-491201 b,1,1,Astrometry,2013,Paranal Observatory,9057.77000,
271,DH Tau b,1,1,Imaging,2004,Subaru Telescope,3496.00000,134.8460000
272,DH Tau b,1,1,Imaging,2004,Subaru Telescope,3496.13000,134.8460000
273,DMPP-1 b,1,4,Radial Velocity,2019,La Silla Observatory,,62.5388000
274,DMPP-1 c,1,4,Radial Velocity,2019,La Silla Observatory,,62.5388000
275,DMPP-1 d,1,4,Radial Velocity,2019,La Silla Observatory,,62.5388000
276,DMPP-1 e,1,4,Radial Velocity,2019,La Silla Observatory,,62.5388000
277,DMPP-2 b,1,1,Radial Velocity,2019,Multiple Facilities,,137.9400000
278,DMPP-3 A b,2,1,Radial Velocity,2019,La Silla Observatory,,45.2300000
279,DMPP-3 A b,2,1,Radial Velocity,2019,La Silla Observatory,,45.2300000
280,DP Leo b,2,1,Eclipse Timing Variations,2009,Yunnan Astronomical Observatory,1995.88832,305.6840000
281,DP Leo b,2,1,Eclipse Timing Variations,2009,Yunnan Astronomical Observatory,,305.6840000
282,DS Tuc A b,2,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),413.17900,44.0622000
283,DS Tuc A b,2,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),,44.0622000
284,DS Tuc A b,2,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),,44.0622000
285,EPIC 201170410.02,1,1,Transit,2020,K2,,
286,EPIC 201238110 b,1,1,Transit,2019,K2,,159.2590000
287,EPIC 201238110 b,1,1,Transit,2019,K2,,159.2590000
288,EPIC 201497682 b,1,1,Transit,2019,K2,,253.0260000
289,EPIC 201615463 c,1,2,Transit,2019,K2,,476.8820000
290,EPIC 201754305 d,1,3,Transit,2019,K2,,334.9670000
291,EPIC 201757695.02,1,1,Transit,2020,K2,,
292,EPIC 201833600 c,1,2,Transit,2019,K2,,257.4430000
293,EPIC 201833600 c,1,2,Transit,2019,K2,,257.4430000
294,EPIC 201841433 b,1,1,Transit,2019,K2,,436.4880000
295,EPIC 201841433 b,1,1,Transit,2019,K2,,436.4880000
296,EPIC 201841433 b,1,1,Transit,2019,K2,,436.4880000
297,EPIC 205950854 c,1,2,Transit,2019,K2,,243.9350000
298,EPIC 205950854 c,1,2,Transit,2019,K2,,243.9350000
299,EPIC 205950854 c,1,2,Transit,2019,K2,,243.9350000
300,EPIC 206024342 b,1,1,Transit,2019,K2,,369.8880000
301,EPIC 206024342 b,1,1,Transit,2019,K2,,369.8880000
302,EPIC 206032309 b,1,1,Transit,2019,K2,,161.3650000
303,EPIC 206042996 b,1,1,Transit,2019,K2,,451.7690000
304,EPIC 206042996 b,1,1,Transit,2019,K2,,451.7690000
305,EPIC 206215704 b,1,1,Transit,2019,K2,,109.8880000
306,EPIC 206215704 b,1,1,Transit,2019,K2,,109.8880000
307,EPIC 206317286 b,1,1,Transit,2019,K2,,314.3500000
308,EPIC 206317286 b,1,1,Transit,2019,K2,,314.3500000
309,EPIC 211822797 b,1,1,Transit,2016,K2,,186.1970000
310,EPIC 211822797 b,1,1,Transit,2016,K2,,186.1970000
311,EPIC 211822797 b,1,1,Transit,2016,K2,,186.1970000
312,EPIC 211822797 b,1,1,Transit,2016,K2,,186.1970000
313,EPIC 211822797 b,1,1,Transit,2016,K2,,186.1970000
314,EPIC 211822797 b,1,1,Transit,2016,K2,,186.1970000
315,EPIC 211822797 b,1,1,Transit,2016,K2,,186.1970000
316,EPIC 211945201 b,1,1,Transit,2018,K2,,181.6900000
317,EPIC 211945201 b,1,1,Transit,2018,K2,,181.6900000
318,EPIC 211945201 b,1,1,Transit,2018,K2,,181.6900000
319,EPIC 211945201 b,1,1,Transit,2018,K2,,181.6900000
320,EPIC 211945201 b,1,1,Transit,2018,K2,27.00000,181.6900000
321,EPIC 211945201 b,1,1,Transit,2018,K2,,181.6900000
322,EPIC 211945201 b,1,1,Transit,2018,K2,,181.6900000
323,EPIC 211945201 b,1,1,Transit,2018,K2,,181.6900000
324,EPIC 212297394 b,1,1,Transit,2019,K2,,418.3950000
325,EPIC 212297394 b,1,1,Transit,2019,K2,,418.3950000
326,EPIC 212424622 b,1,1,Transit,2019,K2,,611.8040000
327,EPIC 212424622 b,1,1,Transit,2019,K2,,611.8040000
328,EPIC 212499991 b,1,1,Transit,2019,K2,,283.2900000
329,EPIC 212587672 b,1,1,Transit,2019,K2,,320.0700000
330,EPIC 212587672 b,1,1,Transit,2019,K2,,320.0700000
331,EPIC 212737443 b,1,2,Transit,2019,K2,,336.2500000
332,EPIC 212737443 b,1,2,Transit,2019,K2,,336.2500000
333,EPIC 212737443 b,1,2,Transit,2019,K2,,336.2500000
334,EPIC 212737443 c,1,2,Transit,2019,K2,,336.2500000
335,EPIC 220554210 c,1,2,Transit,2019,K2,,496.2890000
336,EPIC 220554210 c,1,2,Transit,2019,K2,,496.2890000
337,EPIC 220674823 b,1,2,Transit,2016,K2,,244.5900000
338,EPIC 220674823 b,1,2,Transit,2016,K2,,244.5900000
339,EPIC 220674823 b,1,2,Transit,2016,K2,,244.5900000
